idx,OP1_Type,OP2_Type,OP1,OP2,S,Sc,F1,F2,F1_label,F2_label,Notes
1,MDL,IND,may,a/an,I may meet a close friend of mine in the morning,I met a close friend of mine in the morning,and I know which one.,but I don't know which one.,OP2_wide,OP1_wide,
2,MDL,IND,probably,a/an,I will probably watch an episode of Tom and Jerry that I love,I watched an episode of Tom and Jerry that I love,and I know which episode.,but I don't know which episode.,OP2_wide,OP1_wide,
3,MDL,IND,must,a/an,A classmate of mine must tell me they love me,A classmate of mine told me they love me,and I know which one.,but I don't know which one.,OP2_wide,OP1_wide,
4,MDL,QD,may,some,I may find some days this week to be sunny,I found some days this week to be sunny,and I know which days.,but I don't know which days.,OP2_wide,OP1_wide,
5,MDL,QD,probably,some,I will probably give myself some tattoos,I gave myself some tattoos,and I know which ones.,but I don't know which ones.,OP2_wide,OP1_wide,
6,MDL,QD,must,a few,Arsenal must win a few of their matches this week,Arsenal won a few of their matches this week,and I know which matches.,but I don't know which matches.,OP2_wide,OP1_wide,
7,MDL,QD,might,most,I might become a fan of most ex-members of One Direction,I became a fan of most ex-members of One Direction,and I know which ex-members those are.,but I don't know which ex-members those are.,OP2_wide,OP1_wide,
8,MDL,QD,likely,most,I will likely speak face-to-face with most of my classmates,I spoke face-to-face with most of my classmates,and I know which ones those are.,but I don't know which ones those are.,OP2_wide,OP1_wide,
9,MDL,QD,must,the majority,I must visit the majority of my neighbours,I visited the majority of my neighbours,and I know who they are.,but I don't know who they are.,OP2_wide,OP1_wide,
10,MDL,QD,NA,all,NA,NA,NA,NA,NA,NA,"MDL + 'all' type QDs are unclear, haven't added any..."
11,MDL,NMR,could,two,I could see two of my professors today,I saw two of my professors today,and I know which two.,but I don't know which two.,OP2_wide,OP1_wide,
12,MDL,NMR,probably,three ,I will probably order three of my favourite items on the menu,I ordered two of my favourite items on the menu,and I know which three.,but I don't know which three.,OP2_wide,OP1_wide,
13,MDL,NMR,must,two,"This holiday season, I must donate to two charities","This holiday season, I donated to two charities",and I know which ones.,but I don't know which ones.,OP2_wide,OP1_wide,
14,ITV,IND,want,a/an,I want to buy a sandwich from Subway,I bought a sandwich from Subway,and I know which one.,but I don't know which one.,OP2_wide,OP1_wide,
15,ITV,QD,hope,some,"One day, I hope to interview some of my favourite footballers","One day, I interviewed some of my favourite footballers",and I know which ones.,but I don't know which ones.,OP2_wide,OP1_wide,
16,ITV,QD,want,most,I want to test most tools in the shop,I tested most tools in the shop,and I know which tools those are.,but I don't know which tools those are.,OP2_wide,OP1_wide,
17,ITV,QD,yearn,every,I yearn to be friends with every person in my office,I was friends with every person in my office,because I care about who they are.,but I don't care about who they are.,OP2_wide,OP1_wide,
18,ITV,NMR,owe,five,I owe my father five trading cards I love,I gave my father five trading cards I love,and I know which ones.,but I don't know which ones.,OP2_wide,OP1_wide,
19,NEG,IND,didn't,a/an,I didn't feed a dog,I starved a dog,even though I was supposed to feed him.,because there was no dog to feed. ,OP2_wide,OP1_wide,
20,NEG,QD,didn't,a few,I didn't shake hands with a few professors,I ignored a few professors,even though I was supposed to shake hands with them.,since there were no professors to shake hands with.,OP2_wide,OP1_wide,
21,NEG,QD,didn't,most,I didn't watch most of Breaking Bad,I missed most of Breaking Bad,as I only watched a couple episodes.,because I watched only just over half the episodes.,OP2_wide,OP1_wide,
